"StudentID","ProgramName","ModuleCode","ModuleName","TotalMark","TotalGrade"
g040010,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,74.00,A 
g040010,MSc in Accounting and Finance,COM501 ,Communication for Managers,58.00,C 
g040010,MSc in Accounting and Finance,FIN501 ,Corporate Finance,69.00,B 
g040011,MSc in International Management,ACC501 ,Accounting for Managers,59.00,C 
g040011,MSc in International Management,COM501 ,Communication for Managers,62.00,B 
g040012,MSc in International Management,ACC501 ,Accounting for Managers,66.00,B 
g040012,MSc in International Management,COM501 ,Communication for Managers,65.00,B 
g040013,MBA with Project Management,COM501 ,Communication for Managers,61.00,B 
g040013,MBA with Project Management,MGT503 ,Organizational Analysis and Stakeholder Management,56.00,C 
g040014,MSc in International Management,ACC501 ,Accounting for Managers,57.00,C 
g040014,MSc in International Management,COM501 ,Communication for Managers,60.00,B 
g040015,MSc in International Management,ACC501 ,Accounting for Managers,66.00,B 
g040015,MSc in International Management,COM501 ,Communication for Managers,71.00,A 
g040016,MSc in International Management,ACC501 ,Accounting for Managers,0.00,D 
g040016,MSc in International Management,COM501 ,Communication for Managers,0.00,D 
g040018,MSc in International Management,ACC501 ,Accounting for Managers,0.00,D 
g040018,MSc in International Management,COM501 ,Communication for Managers,0.00,D 
g040019,MBA with Project Management,COM501 ,Communication for Managers,39.00,D 
g040019,MBA with Project Management,MGT503 ,Organizational Analysis and Stakeholder Management,0.00,D 
g040020,MSc in International Management,ACC501 ,Accounting for Managers,68.00,B 
g040020,MSc in International Management,COM501 ,Communication for Managers,58.00,C 
g040020,MSc in International Management,FIN501 ,Corporate Finance,0.00,D 
g040021,MSc in International Management,ACC501 ,Accounting for Managers,74.00,A 
g040021,MSc in International Management,COM501 ,Communication for Managers,69.00,B 
g040022,MSc in International Management,ACC501 ,Accounting for Managers,68.00,B 
g040022,MSc in International Management,COM501 ,Communication for Managers,66.00,B 
g040023,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,59.00,C 
g040023,MSc in Accounting and Finance,COM501 ,Communication for Managers,53.00,C 
g040023,MSc in Accounting and Finance,FIN501 ,Corporate Finance,69.00,B 
g040024,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,59.00,C 
g040024,MSc in Accounting and Finance,COM501 ,Communication for Managers,58.00,C 
g040024,MSc in Accounting and Finance,FIN501 ,Corporate Finance,28.00,D 
g040025,MSc in Accounting and Finance,ACC501 ,Accounting for Managers,74.00,A 
g040025,MSc in Accounting and Finance,COM501 ,Communication for Managers,64.00,B 
g040025,MSc in Accounting and Finance,FIN501 ,Corporate Finance,55.00,C 
g040026,MBA with Project Management,COM501 ,Communication for Managers,70.00,A 
g040026,MBA with Project Management,MGT503 ,Organizational Analysis and Stakeholder Management,65.00,B 
g040027,MSc in International Management,ACC501 ,Accounting for Managers,73.00,A 
g040027,MSc in International Management,COM501 ,Communication for Managers,61.00,B 
g040028,MSc in International Management,ACC501 ,Accounting for Managers,59.00,C 
g040028,MSc in International Management,COM501 ,Communication for Managers,66.00,B 
g040029,MSc in International Management,ACC501 ,Accounting for Managers,66.00,B 
g040029,MSc in International Management,COM501 ,Communication for Managers,60.00,B 
g040030,MSc in International Management,ACC501 ,Accounting for Managers,66.00,B 
g040030,MSc in International Management,COM501 ,Communication for Managers,64.00,B 
g040031,MBA with Project Management,COM501 ,Communication for Managers,61.00,B 
g040031,MBA with Project Management,MGT503 ,Organizational Analysis and Stakeholder Management,51.00,C 
